ID_Falla,Machine Name,EQ Type,Shift,Cluster
345,AHUALULCO,IMM,1st,D
346,AHUALULCO,IMM,2nd,D
347,AHUALULCO,IMM,2nd,D
348,AHUALULCO,IMM,2nd,D
349,AHUALULCO,Secador,2nd,D
350,AHUALULCO,Robot,2nd,D
351,AHUALULCO,IMM,2nd,D
352,AHUALULCO,Secador,2nd,D
353,AHUALULCO,IMM,2nd,D
354,AHUALULCO,Termoregulador,2nd,D
355,AHUALULCO,IMM,2nd,D
356,AHUALULCO,IMM,2nd,D
357,AHUALULCO,IMM,2nd,D
358,AHUALULCO,IMM,2nd,D
359,AHUALULCO,IMM,2nd,D
360,AHUALULCO,IMM,2nd,D
361,AHUALULCO,IMM,2nd,D
362,AHUALULCO,IMM,2nd,D
363,AHUALULCO,IMM,2nd,D
364,AHUALULCO,Andom,3rd,D
365,AHUALULCO,Robot,1st,D
366,AHUALULCO,Secador,2nd,D
367,AHUALULCO,Robot,2nd,D
368,AHUALULCO,Robot,2nd,D
369,AHUALULCO,IMM,2nd,D
370,AHUALULCO,Robot,2nd,D
371,AHUALULCO,Robot,2nd,D
372,AHUALULCO,Robot,2nd,D
373,AHUALULCO,IMM,2nd,D
374,AHUALULCO,IMM,2nd,D
375,AHUALULCO,IMM,2nd,D
376,AHUALULCO,IMM,2nd,D
377,AHUALULCO,IMM,2nd,D
378,AJAX,IMM,2nd,C
379,AJAX,Controlador,2nd,C
380,AJAX,Secador,2nd,C
381,AJAX,IMM,2nd,C
382,AJAX,Secador,3rd,C
383,AJAX,Robot,1st,C
384,AJAX,IMM,2nd,C
385,AJAX,Termoregulador,1st,C
386,AJAX,IMM,1st,C
387,AJAX,Secador,1st,C
388,AJAX,IMM,1st,C
389,AJAX,Robot,1st,C
390,AJAX,Secador,3rd,C
391,AJAX,Secador,3rd,C
392,AJAX,IMM,1st,C
393,AJAX,IMM,1st,C
394,AJAX,IMM,1st,C
395,AJAX,IMM,2nd,C
396,AJAX,Cargador,3rd,C
397,AJAX,Robot,1st,C
398,AJAX,Secador,1st,C
399,AJAX,Robot,1st,C
400,AJAX,Robot,2nd,C
401,AJAX,IMM,2nd,C
402,AJAX,IMM,1st,C
403,AJAX,IMM,3rd,C
404,AJAX,Termoregulador,1st,C
405,AJAX,Andom,1st,C
406,AJAX,IMM,1st,C
407,AJAX,Secador,3rd,C
408,AJAX,Robot,2nd,C
409,AJAX,Termoregulador,2nd,C
410,AJAX,Cargador,2nd,C
411,AJAX,Cargador,3rd,C
412,AJAX,IMM,2nd,C
413,AJAX,Robot,2nd,C
414,AJAX,Robot,3rd,C
415,AJAX,Cargador,3rd,C
416,AJAX,Robot,3rd,C
417,AJAX,Cargador,1st,C
418,AJAX,Robot,2nd,C
419,AJAX,IMM,2nd,C
420,AJAX,Robot,1st,C
421,AQUILES,Robot,3rd,A
422,AQUILES,Robot,3rd,A
423,AQUILES,Blender,1st,A
424,AQUILES,IMM,1st,A
425,AQUILES,Robot,1st,A
426,AQUILES,Robot,3rd,A
427,AQUILES,Blender,3rd,A
428,AQUILES,Robot,3rd,A
429,AQUILES,IMM,1st,A
430,AQUILES,IMM,3rd,A
431,AQUILES,Robot,2nd,A
432,AQUILES,Robot,3rd,A
433,AQUILES,IMM,2nd,A
434,AQUILES,Cargador,1st,A
435,AQUILES,IMM,3rd,A
436,AQUILES,IMM,3rd,A
437,AQUILES,Cargador,2nd,A
438,AQUILES,IMM,1st,A
439,AQUILES,Andom,1st,A
440,AQUILES,Secador,1st,A
441,AQUILES,Security Cage,2nd,A
442,AQUILES,Termoregulador,2nd,A
443,AQUILES,Robot,1st,A
444,AQUILES,Security Cage,3rd,A
445,AQUILES,Cargador,3rd,A
446,AQUILES,IMM,1st,A
447,AQUILES,Controlador,2nd,A
448,AQUILES,IMM,2nd,A
449,AQUILES,IMM,3rd,A
450,AQUILES,Controlador,3rd,A
451,AQUILES,IMM,3rd,A
452,AQUILES,Robot,1st,A
453,AQUILES,IMM,2nd,A
454,AQUILES,Robot,1st,A
455,AQUILES,IMM,2nd,A
456,AQUILES,IMM,2nd,A
457,AQUILES,Termoregulador,2nd,A
458,AQUILES,Secador,2nd,A
459,AQUILES,IMM,2nd,A
460,AQUILES,Robot,2nd,A
461,AQUILES,IMM,3rd,A
462,AQUILES,Robot,3rd,A
463,AQUILES,Cargador,2nd,A
464,AQUILES,IMM,3rd,A
465,AQUILES,Cargador,3rd,A
466,AQUILES,Cargador,2nd,A
467,AQUILES,Blender,3rd,A
468,AQUILES,Cargador,3rd,A
469,AQUILES,IMM,2nd,A
470,AQUILES,IMM,2nd,A
471,AQUILES,IMM,2nd,A
472,AQUILES,IMM,3rd,A
473,AQUILES,Blender,3rd,A
474,AQUILES,IMM,2nd,A
475,AQUILES,IMM,3rd,A
476,AQUILES,IMM,3rd,A
477,AQUILES,IMM,3rd,A
478,AQUILES,Fixture,1st,A
479,AQUILES,Cargador,1st,A
480,AQUILES,IMM,3rd,A
481,AQUILES,Feeder,1st,A
482,AQUILES,IMM,2nd,A
483,AQUILES,IMM,2nd,A
484,AQUILES,IMM,3rd,A
485,AQUILES,Cargador,1st,A
486,AQUILES,Robot,2nd,A
487,AQUILES,Robot,2nd,A
488,AQUILES,IMM,2nd,A
489,AQUILES,IMM,3rd,A
490,AQUILES,Robot,3rd,A
491,AQUILES,IMM,3rd,A
492,AQUILES,IMM,3rd,A
493,AQUILES,IMM,1st,A
494,AQUILES,IMM,2nd,A
495,AQUILES,Robot,2nd,A
496,AQUILES,Termoregulador,3rd,A
497,AQUILES,Blender,3rd,A
498,AQUILES,IMM,3rd,A
499,AQUILES,Termoregulador,3rd,A
500,AQUILES,Termoregulador,1st,A
501,AQUILES,Controlador,2nd,A
502,AQUILES,Controlador,2nd,A
503,AQUILES,IMM,2nd,A
504,AQUILES,Robot,3rd,A
505,AQUILES,IMM,3rd,A
506,AQUILES,Cargador,1st,A
507,AQUILES,IMM,1st,A
508,AQUILES,IMM,1st,A
509,AQUILES,IMM,3rd,A
510,AQUILES,Cargador,3rd,A
511,AQUILES,Secador,3rd,A
512,AQUILES,Secador,1st,A
513,AQUILES,Secador,2nd,A
514,AQUILES,Secador,1st,A
515,AQUILES,IMM,1st,A
516,AQUILES,Secador,2nd,A
517,AQUILES,Secador,2nd,A
518,AQUILES,Robot,3rd,A
519,AQUILES,Robot,3rd,A
520,AQUILES,IMM,3rd,A
521,AQUILES,Robot,3rd,A
522,AQUILES,Robot,3rd,A
523,AQUILES,Controlador,1st,A
524,AQUILES,IMM,3rd,A
525,AQUILES,Robot,3rd,A
526,AQUILES,Robot,2nd,A
527,AQUILES,IMM,2nd,A
528,AQUILES,Robot,2nd,A
529,AQUILES,Secador,1st,A
530,AQUILES,IMM,2nd,A
531,AQUILES,Secador,2nd,A
532,AQUILES,Dryer,2nd,A
533,AQUILES,Secador,2nd,A
534,AQUILES,Cargador,2nd,A
535,AQUILES,Robot,2nd,A
536,AQUILES,Feeder,2nd,A
537,AQUILES,Robot,2nd,A
538,AQUILES,Feeder,2nd,A
539,AQUILES,IMM,3rd,A
540,AQUILES,Robot,2nd,A
541,ARANZAZU,IMM,2nd,C
542,ARANZAZU,Secador,3rd,C
543,ARANZAZU,Cargador,3rd,C
544,ARANZAZU,Cargador,1st,C
545,ARANZAZU,Secador,2nd,C
546,ARANZAZU,Secador,2nd,C
547,ARANZAZU,Secador,3rd,C
548,ARANZAZU,IMM,1st,C
549,ARANZAZU,Secador,1st,C
550,ARANZAZU,Termoregulador,1st,C
551,ARANZAZU,Cargador,1st,C
552,ARANZAZU,Cargador,2nd,C
553,ARANZAZU,Cargador,3rd,C
554,ARANZAZU,Cargador,2nd,C
555,ARANZAZU,IMM,1st,C
556,ARANZAZU,IMM,2nd,C
557,ARANZAZU,IMM,3rd,C
558,ARANZAZU,Cargador,2nd,C
559,ARANZAZU,Robot,2nd,C
560,ARANZAZU,Robot,2nd,C
561,ARANZAZU,Robot,1st,C
562,ARANZAZU,Blender,2nd,C
563,ARANZAZU,IMM,2nd,C
564,ARANZAZU,IMM,1st,C
565,ARANZAZU,IMM,1st,C
566,ARANZAZU,Blender,1st,C
567,ARANZAZU,IMM,1st,C
568,ARANZAZU,Blender,1st,C
569,ARANZAZU,IMM,1st,C
570,ARANZAZU,IMM,2nd,C
571,ARANZAZU,Robot,2nd,C
572,ARANZAZU,Robot,3rd,C
573,ARANZAZU,Robot,3rd,C
574,ARANZAZU,IMM,1st,C
575,ARANZAZU,Blender,1st,C
576,ARANZAZU,Blender,2nd,C
577,ARANZAZU,IMM,2nd,C
578,ARANZAZU,IMM,3rd,C
579,ARANZAZU,Blender,3rd,C
580,ARANZAZU,IMM,3rd,C
581,ARANZAZU,Blender,1st,C
582,ARANZAZU,IMM,1st,C
583,ARANZAZU,Blender,3rd,C
584,ARANZAZU,IMM,2nd,C
585,ARANZAZU,IMM,1st,C
586,ARANZAZU,Blender,2nd,C
587,ARANZAZU,IMM,1st,C
588,ARANZAZU,IMM,3rd,C
589,ARANZAZU,IMM,2nd,C
590,ARANZAZU,Blender,1st,C
591,ARANZAZU,Blender,3rd,C
592,ARANZAZU,IMM,3rd,C
593,ARANZAZU,IMM,1st,C
594,ARANZAZU,IMM,1st,C
595,ARANZAZU,Robot,1st,C
596,ARANZAZU,Robot,2nd,C
597,ARANZAZU,Robot,2nd,C
598,ARANZAZU,IMM,2nd,C
599,ARANZAZU,Fixture,2nd,C
600,ARANZAZU,Feeder,2nd,C
601,ARANZAZU,Feeder,2nd,C
602,ARANZAZU,Feeder,3rd,C
603,ARANZAZU,Feeder,1st,C
604,ARANZAZU,Feeder,3rd,C
605,ARANZAZU,Feeder,3rd,C
606,ARANZAZU,Feeder,1st,C
607,ARANZAZU,Feeder,2nd,C
608,ARANZAZU,Feeder,3rd,C
609,ARANZAZU,Feeder,2nd,C
610,ARANZAZU,Feeder,3rd,C
611,ARANZAZU,Feeder,2nd,C
612,ARANZAZU,Feeder,2nd,C
