Maquina,Indice_Tiempo,Tiempo_Entre_Fallas
AUSTRIA,32,0.332914815
AUSTRIA,33,3.530608681
AUSTRIA,34,13.09490027
AUSTRIA,35,18.77989934
AUSTRIA,36,0.045669676
AUSTRIA,37,10.94535223
AUSTRIA,38,18.26596632
AUSTRIA,39,13.67571181
AUSTRIA,40,12.84954324
AUSTRIA,41,0.044366354
AUSTRIA,42,2.216492211
AUSTRIA,43,0.968853403
AUSTRIA,44,12.87270328
AUSTRIA,45,1.320386343
AUSTRIA,46,11.08434398
AUSTRIA,47,0.123150035
AUSTRIA,48,6.302596956
AUSTRIA,49,0.425395602
AUSTRIA,50,1.342735799
AUSTRIA,51,1.014054664
AUSTRIA,52,0.218006285
AUSTRIA,53,1.491800312
AUSTRIA,54,0.373840741
AUSTRIA,55,4.087746528
AUSTRIA,56,2.658447685
AUSTRIA,57,0.384714583
AUSTRIA,58,15.81220845
AUSTRIA,59,6.690340046
AUSTRIA,60,1.756751505
AUSTRIA,61,0.984052396
AUSTRIA,62,1.956716319
AUSTRIA,63,18.13474618
AUSTRIA,64,6.363670799
AUSTRIA,65,5.673834676
AUSTRIA,66,1.637957488
AUSTRIA,67,0.195557488
AUSTRIA,68,0.036946794
AUSTRIA,69,1.119360451
AUSTRIA,70,1.191841273
AUSTRIA,71,0.729421678
AUSTRIA,72,0.159162766
AUSTRIA,73,3.33327978
AUSTRIA,74,2.650776111
AUSTRIA,75,0.201965741
AUSTRIA,76,4.762566632
AUSTRIA,77,1.965591238
AUSTRIA,78,0.169194294
AUSTRIA,79,4.436848113
AUSTRIA,80,0.022425694
AUSTRIA,81,8.289320637
AUSTRIA,82,2.495439074
AUSTRIA,83,11.47661119
AUSTRIA,84,22.19193943
AUSTRIA,85,2.912869028
AUSTRIA,86,1.824194722
AUSTRIA,87,5.809344641
AUSTRIA,88,6.070944329
AUSTRIA,89,1.576086343
AUSTRIA,90,2.165140278
AUSTRIA,91,5.961778403
AUSTRIA,92,4.473483484
AUSTRIA,93,21.31144757
AUSTRIA,94,0.18762191
BALOO,1,3.899020208
BALOO,2,9.590499607
BALOO,3,10.36666111
BALOO,4,3.793453125
BALOO,5,2.483333958
BALOO,6,2.322317593
BALOO,7,2.743744259
BALOO,8,7.158531898
BALOO,9,1.293062268
BALOO,10,2.299999768
BALOO,11,0.256205787
BALOO,12,12.54275116
BALOO,13,15.08193608
BALOO,14,13.95275756
BALOO,15,21.74712439
BALOO,16,9.14312581
BALOO,17,10.03683753
BALOO,18,2.226945139
BALOO,19,1.18161081
BALOO,20,2.640589086
BALOO,21,0.046317708
BALOO,22,1.385682407
BALOO,23,13.30851659
BALOO,24,0.637646493
BALOO,25,11.68258654
BALOO,26,0.219587153
BALOO,27,29.8169652
BALOO,28,9.527616238
BALOO,29,0.205264861
BALOO,30,5.249172801
BALOO,31,6.966166007
BALOO,32,0.132655208
BALOO,33,5.869641944
BALOO,34,0.520347454
BALOO,35,7.011213854
BALOO,36,13.02313322
BALOO,37,15.17957604
BALOO,38,4.658310914
BALOO,39,26.03903299
BALOO,40,26.16528472
BALOO,41,4.616357326
BALOO,42,43.00090003
BALOO,43,5.245022107
BALOO,44,1.499505833
BALOO,45,9.190345868
BALOO,46,1.720980127
BALOO,47,0.154794907
BALOO,48,0.945246875
BALOO,49,1.347036181
BALOO,50,60.20574031
BALOO,51,43.04308072
BATMAN,1,1.430807674
BATMAN,2,1.39807419
BATMAN,3,26.66867867
BATMAN,4,5.746579826
BATMAN,5,1.104087616
BATMAN,6,1.12417419
BATMAN,7,0.993376204
BATMAN,8,6.871908403
BATMAN,9,41.02790779
